trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.9, 'e': 0.8904235427767176}",20,-7,-155.46440617110252,"{0: 16, 1: 4, 2: 2, 3: 3, 4: 2}",0
117,False,"{'a': 0.9, 'e': 0.889533119233941}",30,-33,-342.88875186332496,"{0: 36, 1: 9, 2: 11, 3: 2, 4: 5}",0
118,False,"{'a': 0.9, 'e': 0.8886435861147071}",20,-58,-301.5529301586906,"{0: 55, 1: 7, 2: 8, 3: 2, 4: 6}",0
119,False,"{'a': 0.9, 'e': 0.8877549425285923}",25,11,-75.10667322353791,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 1}",1
120,False,"{'a': 0.9, 'e': 0.8868671875860638}",30,-36,-137.5540357137395,"{0: 51, 1: 3, 2: 9, 3: 0, 4: 3}",0
121,False,"{'a': 0.9, 'e': 0.8859803203984776}",25,-100,-485.2374938040507,"{0: 90, 1: 5, 2: 18, 3: 3, 4: 9}",0
122,False,"{'a': 0.9, 'e': 0.8850943400780792}",20,-55,-268.79383911120095,"{0: 52, 1: 8, 2: 7, 3: 4, 4: 4}",0
123,False,"{'a': 0.9, 'e': 0.8842092457380011}",20,-45,-278.3877011078324,"{0: 43, 1: 3, 2: 13, 3: 2, 4: 4}",0
124,False,"{'a': 0.9, 'e': 0.8833250364922631}",20,-100,-512.0423902869416,"{0: 79, 1: 9, 2: 20, 3: 5, 4: 7}",0
125,False,"{'a': 0.9, 'e': 0.8824417114557709}",25,-65,-361.8147573636877,"{0: 57, 1: 7, 2: 18, 3: 4, 4: 4}",0
126,False,"{'a': 0.9, 'e': 0.8815592697443151}",20,-69,-378.8092073130161,"{0: 59, 1: 3, 2: 19, 3: 3, 4: 5}",0
127,False,"{'a': 0.9, 'e': 0.8806777104745708}",25,18,-2.217868230251387,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.8797970327640962}",20,-100,-483.1093986663852,"{0: 75, 1: 7, 2: 29, 3: 5, 4: 4}",0
129,False,"{'a': 0.9, 'e': 0.8789172357313321}",25,-15,-286.58123670163144,"{0: 24, 1: 2, 2: 7, 3: 2, 4: 5}",0
130,False,"{'a': 0.9, 'e': 0.8780383184956008}",25,-100,-638.6783920508828,"{0: 81, 1: 6, 2: 21, 3: 8, 4: 9}",0
131,False,"{'a': 0.9, 'e': 0.8771602801771051}",35,-29,-249.16404540262494,"{0: 43, 1: 6, 2: 7, 3: 5, 4: 3}",0
132,False,"{'a': 0.9, 'e': 0.8762831198969281}",25,-63,-317.34565195310387,"{0: 61, 1: 8, 2: 11, 3: 3, 4: 5}",0
133,False,"{'a': 0.9, 'e': 0.8754068367770311}",25,-100,-660.9277067950853,"{0: 85, 1: 11, 2: 12, 3: 4, 4: 13}",0
134,False,"{'a': 0.9, 'e': 0.8745314299402541}",20,-43,-165.17562158637688,"{0: 45, 1: 4, 2: 10, 3: 2, 4: 2}",0
135,False,"{'a': 0.9, 'e': 0.8736568985103138}",20,-13,-85.33333553564447,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 0}",0
136,False,"{'a': 0.9, 'e': 0.8727832416118035}",20,-100,-379.94517192124755,"{0: 82, 1: 10, 2: 21, 3: 1, 4: 6}",0
137,False,"{'a': 0.9, 'e': 0.8719104583701917}",30,-93,-485.3460077288862,"{0: 83, 1: 8, 2: 20, 3: 5, 4: 7}",0
138,False,"{'a': 0.9, 'e': 0.8710385479118216}",20,-50,-275.97375733914794,"{0: 43, 1: 8, 2: 11, 3: 6, 4: 2}",0
139,False,"{'a': 0.9, 'e': 0.8701675093639096}",25,-47,-324.89203858929346,"{0: 46, 1: 11, 2: 6, 3: 4, 4: 5}",0
140,False,"{'a': 0.9, 'e': 0.8692973418545458}",25,0,-123.95266310690198,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",1
141,False,"{'a': 0.9, 'e': 0.8684280445126912}",25,-10,-191.931958343782,"{0: 20, 1: 3, 2: 7, 3: 3, 4: 2}",0
142,False,"{'a': 0.9, 'e': 0.8675596164681786}",20,6,-39.27001140195359,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.8666920568517104}",20,-48,-222.0055011613642,"{0: 41, 1: 9, 2: 14, 3: 3, 4: 1}",0
144,False,"{'a': 0.9, 'e': 0.8658253647948586}",20,-47,-252.74725731589808,"{0: 43, 1: 6, 2: 12, 3: 4, 4: 2}",0
145,False,"{'a': 0.9, 'e': 0.8649595394300638}",20,3,-44.49314080632011,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
146,False,"{'a': 0.9, 'e': 0.8640945798906338}",25,-24,-191.4033247258382,"{0: 33, 1: 3, 2: 9, 3: 1, 4: 3}",0
147,False,"{'a': 0.9, 'e': 0.8632304853107431}",30,11,-76.19631714949689,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
148,False,"{'a': 0.9, 'e': 0.8623672548254323}",20,-65,-247.1098579355556,"{0: 58, 1: 8, 2: 14, 3: 2, 4: 3}",0
149,False,"{'a': 0.9, 'e': 0.861504887570607}",20,3,-61.08288015845304,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.8606433826830363}",25,-34,-156.33195865237133,"{0: 41, 1: 4, 2: 12, 3: 0, 4: 2}",0
151,False,"{'a': 0.9, 'e': 0.8597827393003533}",30,-5,-114.03606837136269,"{0: 21, 1: 3, 2: 9, 3: 2, 4: 0}",0
152,False,"{'a': 0.9, 'e': 0.8589229565610529}",20,9,-76.78294631837586,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 1}",1
153,False,"{'a': 0.9, 'e': 0.8580640336044919}",20,-64,-464.23942656623143,"{0: 53, 1: 3, 2: 16, 3: 6, 4: 6}",0
154,False,"{'a': 0.9, 'e': 0.8572059695708873}",30,-100,-508.17851683272556,"{0: 88, 1: 6, 2: 25, 3: 4, 4: 7}",0
155,False,"{'a': 0.9, 'e': 0.8563487636013165}",35,-100,-513.3864064249303,"{0: 91, 1: 8, 2: 22, 3: 8, 4: 6}",0
156,False,"{'a': 0.9, 'e': 0.8554924148377152}",20,-7,-40.727325088275464,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 0}",0
157,False,"{'a': 0.9, 'e': 0.8546369224228775}",30,-37,-445.46411542221017,"{0: 35, 1: 6, 2: 19, 3: 0, 4: 7}",0
